date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:39:56	68732/68732	---M-Z	200	added ('OK')	text/html	etag:W/%22006d50b5c14304cfd1ddd6dc3c933b47-gzip%22	https://www.causesforanimals.com/dogs-for-adoption.html	C:/Users/talle/PycharmProjects/interview_prep_python/CS4249/Causeforanimals/www.causesforanimals.com/dogs-for-adoption.html	(from )
20:39:58	1909/1909	---M--	200	added ('OK')	text/plain	etag:W/%221286fae2ebadabf3dac1e3014ab01166%22	https://www.causesforanimals.com/robots.txt		(from )
20:39:58	3913/3913	---M-Z	200	added ('OK')	application/x-javascript	etag:%22668c5bd59cf61258ef2740533f49dce3%22	http://connect.facebook.net/en_US/fbds.js	C:/Users/talle/PycharmProjects/interview_prep_python/CS4249/Causeforanimals/connect.facebook.net/en_US/fbds.js	(from https://www.causesforanimals.com/dogs-for-adoption.html)
20:39:59	214956/214956	---M-Z	200	added ('OK')	text/css	etag:W/%225f7df2fd-347ac%22	http://cdn2.editmysite.com/css/sites.css?buildTime=1602094292	C:/Users/talle/PycharmProjects/interview_prep_python/CS4249/Causeforanimals/cdn2.editmysite.com/css/sites0b6e.css	(from https://www.causesforanimals.com/dogs-for-adoption.html)
20:39:59	9441/9441	---MC-	200	added ('OK')	application/javascript	date:Fri,%2009%20Oct%202020%2012:39:58%20GMT	https://www.causesforanimals.com/gdpr/gdprscript.js?buildTime=1602193947&hasRemindMe=true&stealth=false	C:/Users/talle/PycharmProjects/interview_prep_python/CS4249/Causeforanimals/www.causesforanimals.com/gdpr/gdprscript5205.js	(from https://www.causesforanimals.com/dogs-for-adoption.html)
20:40:00	3911/3911	---M-Z	200	added ('OK')	text/css	etag:%225f7df2fd-f47%22	http://cdn2.editmysite.com/css/old/fancybox.css?1602094292	C:/Users/talle/PycharmProjects/interview_prep_python/CS4249/Causeforanimals/cdn2.editmysite.com/css/old/fancyboxa9a4.css	(from https://www.causesforanimals.com/dogs-for-adoption.html)
20:40:00	14278/14278	---MCZ	200	added ('OK')	text/css	date:Fri,%2009%20Oct%202020%2012:40:01%20GMT	https://www.causesforanimals.com/files/main_style.css?1602164286	C:/Users/talle/PycharmProjects/interview_prep_python/CS4249/Causeforanimals/www.causesforanimals.com/files/main_style2f12.css	(from https://www.causesforanimals.com/dogs-for-adoption.html)
20:40:00	7160/7160	---MCZ	200	added ('OK')	application/x-javascript	date:Fri,%2009%20Oct%202020%2012:40:01%20GMT	https://www.causesforanimals.com/files/templateArtifacts.js?1602164286	C:/Users/talle/PycharmProjects/interview_prep_python/CS4249/Causeforanimals/www.causesforanimals.com/files/templateArtifacts2f12.js	(from https://www.causesforanimals.com/dogs-for-adoption.html)
20:40:01	93636/93636	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.8.3/jquery.min.js	C:/Users/talle/PycharmProjects/interview_prep_python/CS4249/Causeforanimals/ajax.googleapis.com/ajax/libs/jquery/1.8.3/jquery.min.js	(from https://www.causesforanimals.com/dogs-for-adoption.html)
20:40:02	166315/166315	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%225f7df2fd-289ab%22	http://cdn2.editmysite.com/js/lang/en/stl.js?buildTime=1602094292&	C:/Users/talle/PycharmProjects/interview_prep_python/CS4249/Causeforanimals/cdn2.editmysite.com/js/lang/en/stldde5.js	(from https://www.causesforanimals.com/dogs-for-adoption.html)
20:40:03	477188/477188	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%225f7df2fd-74804%22	http://cdn2.editmysite.com/js/site/main.js?buildTime=1602094292	C:/Users/talle/PycharmProjects/interview_prep_python/CS4249/Causeforanimals/cdn2.editmysite.com/js/site/main0b6e.js	(from https://www.causesforanimals.com/dogs-for-adoption.html)
